region,match_time,team1,team1acro,team2,team2acro,game_ids,game_hashes,match_url
LCK,2019-06-05T08:00:00.000+0000,Jin Air Greenwings,JAG,kt Rolster,KT,1130754-1130750,5b453270cf3e854e-9f0a43d24356df20,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=d507be4a-65ae-4679-ae5b-40acee03cf98
LCK,2019-06-05T11:00:00.000+0000,Gen.G,GEN,DAMWON Gaming,DWG,1130786-1130806-1140917,704cc0966c3576ee-db16f89e02a3a3da-08da7cedf0dd954c,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=ae8367bc-46bb-4d8b-a802-ab4cd03f2389
LCK,2019-06-06T08:00:00.000+0000,Hanwha Life Esports,HLE,SANDBOX Gaming,SB,1131058-1131097,50596cf4782bcf22-469713d74d8838e1,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=b6ac9682-4a70-475f-aed8-bee6141c3f6b
LCK,2019-06-06T11:00:00.000+0000,Afreeca Freecs,AF,GRIFFIN,GRF,1131144-1131104-1131131,daf691d21c1c33c3-18d0795fc1316ea8-0ad450f8b3c2035f,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=0c21a3e8-5278-49fe-9976-201373a1dc8d
LCK,2019-06-07T08:00:00.000+0000,SK telecom T1,SKT,Jin Air Greenwings,JAG,1131416-1131400-1141450,7bba7ed7337865c9-99d74be98c381955-58dca94464786d8e,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=5ea800af-2644-4926-b213-a3ebf5d0c56b
LCK,2019-06-07T11:00:00.000+0000,KING-ZONE DragonX,KZ,Gen.G,GEN,1131451-1131423,1249bc31a95a126e-84af03e61a28d205,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=5cb25572-732e-4769-aec7-f2309df2f850
LCK,2019-06-08T08:00:00.000+0000,kt Rolster,KT,Hanwha Life Esports,HLE,1141728-1131604,59d91e06cffed31b-d30137a869bd1af5,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=33db2860-b7e3-406d-9b76-b575a1aa685a
LCK,2019-06-08T11:00:00.000+0000,GRIFFIN,GRF,DAMWON Gaming,DWG,1131623-1131632,a213dea6b42938f6-5d00a3996d22244b,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=6b8e3ef7-a7e6-41be-9784-131237b6a2db
LCK,2019-06-09T08:00:00.000+0000,KING-ZONE DragonX,KZ,SANDBOX Gaming,SB,1131870-1131890,29b86d69682ec769-2c22ec6020ca5b1d,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=1a1d783c-d755-4646-87fe-b5ce86d6755a
LCK,2019-06-09T11:00:00.000+0000,SK telecom T1,SKT,Afreeca Freecs,AF,1131932-1131926-1131894,e0cfb7c95900aef4-581058cba49151aa-059bd8f2382d344a,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=6d42d3a6-32b8-45d0-826d-dcd126ad60e7
LCK,2019-06-12T08:00:00.000+0000,Afreeca Freecs,AF,Hanwha Life Esports,HLE,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=ce80df58-57dc-4f27-b5d5-4d82ba732e1a
LCK,2019-06-12T11:00:00.000+0000,GRIFFIN,GRF,SANDBOX Gaming,SB,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=f20b0812-697b-4f79-8256-51fc76241c51
LCK,2019-06-13T08:00:00.000+0000,Jin Air Greenwings,JAG,Gen.G,GEN,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=c324bc01-ae9f-4e25-9a58-dd68d360aed4
LCK,2019-06-13T11:00:00.000+0000,SK telecom T1,SKT,KING-ZONE DragonX,KZ,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=da512b34-9c09-448b-97d2-53bddc3c864f
LCK,2019-06-14T08:00:00.000+0000,kt Rolster,KT,DAMWON Gaming,DWG,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=9ac203ae-8e9b-41b7-811f-98e1d793574d
LCK,2019-06-14T11:00:00.000+0000,GRIFFIN,GRF,Hanwha Life Esports,HLE,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=da877522-b605-4b32-a3d7-0afdb8e66fea
LCK,2019-06-15T08:00:00.000+0000,Afreeca Freecs,AF,KING-ZONE DragonX,KZ,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=3177c5bd-3e2c-463e-8289-3ee8b565994d
LCK,2019-06-15T11:00:00.000+0000,SK telecom T1,SKT,SANDBOX Gaming,SB,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=96e1c31d-8755-410f-bd4a-85bea8c50e60
LCK,2019-06-16T08:00:00.000+0000,kt Rolster,KT,Gen.G,GEN,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=5abbc577-165b-4850-9da7-b7c18df6c490
LCK,2019-06-16T11:00:00.000+0000,Jin Air Greenwings,JAG,DAMWON Gaming,DWG,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=eb7e76ed-a192-41eb-abc1-6dd34c598360
LCK,2019-06-19T08:00:00.000+0000,SK telecom T1,SKT,DAMWON Gaming,DWG,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=1be3d14a-c86d-47e0-b186-ed6b503b11c4
LCK,2019-06-19T11:00:00.000+0000,Jin Air Greenwings,JAG,KING-ZONE DragonX,KZ,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=2709d7e2-87dc-41a1-aa3d-e3ec8a18ad62
LCK,2019-06-20T08:00:00.000+0000,kt Rolster,KT,GRIFFIN,GRF,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=f7ef3d79-9b55-403c-bd5c-e52539f97ffd
LCK,2019-06-20T11:00:00.000+0000,Gen.G,GEN,Hanwha Life Esports,HLE,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=210774a7-5f88-468f-95ac-ffc3867fb7f5
LCK,2019-06-21T08:00:00.000+0000,Afreeca Freecs,AF,SANDBOX Gaming,SB,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=f1a4e845-63a5-4025-8e8a-f2defaa569f1
LCK,2019-06-21T11:00:00.000+0000,KING-ZONE DragonX,KZ,DAMWON Gaming,DWG,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=a726a5c2-ac47-495b-bef1-36cf26da0dc2
LCK,2019-06-22T08:00:00.000+0000,SK telecom T1,SKT,GRIFFIN,GRF,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=9b78678f-0db1-4958-8780-c2cab2bd29b9
LCK,2019-06-22T11:00:00.000+0000,Jin Air Greenwings,JAG,Hanwha Life Esports,HLE,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=059c77d7-f0ea-4937-ab83-03f1ddc6e745
LCK,2019-06-23T08:00:00.000+0000,Afreeca Freecs,AF,Gen.G,GEN,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=42face92-2ecc-4ec2-a4dd-0b3522a0a874
LCK,2019-06-23T11:00:00.000+0000,kt Rolster,KT,SANDBOX Gaming,SB,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=2ccf621d-9737-4010-aae9-6960c7b84b11
LCK,2019-06-26T08:00:00.000+0000,Gen.G,GEN,SANDBOX Gaming,SB,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=2d71ac44-3ce0-4a13-b6f2-6c4b93e526aa
LCK,2019-06-26T11:00:00.000+0000,Jin Air Greenwings,JAG,GRIFFIN,GRF,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=4fdf8b0b-5643-4a66-880f-baca30a89b2c
LCK,2019-06-27T08:00:00.000+0000,Afreeca Freecs,AF,DAMWON Gaming,DWG,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=01bd42fc-95d3-4d1a-a397-28cfdc0441a6
LCK,2019-06-27T11:00:00.000+0000,SK telecom T1,SKT,kt Rolster,KT,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=a1e4a95b-3575-4725-8b7c-4754a4fec781
LCK,2019-06-28T08:00:00.000+0000,KING-ZONE DragonX,KZ,Hanwha Life Esports,HLE,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=48e32794-12c6-428c-b84c-4610f2eff5c0
LCK,2019-06-28T11:00:00.000+0000,Jin Air Greenwings,JAG,SANDBOX Gaming,SB,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=1262b335-909c-412c-a890-6bfbe7b2688a
LCK,2019-06-29T08:00:00.000+0000,SK telecom T1,SKT,Gen.G,GEN,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=b4f61b55-e029-41cd-be57-08b0514c80d5&matchId=398df08f-528f-44e6-90d0-9f292b10cbbd
